Hours_Studied,Attendance,Previous_Scores,Motivation_Level,Family_Income,Teacher_Quality,School_Type,Parental_Education_Level,Exam_Score
25,97,82,High,Low,High,Public,College,73
20,66,95,High,High,Medium,Public,High School,66
17,82,65,Low,Low,Medium,Private,High School,67
8,71,97,Medium,Medium,Medium,Private,High School,63
14,63,64,High,Low,Medium,Public,High School,61
31,62,91,High,High,High,Public,High School,71
12,65,64,Medium,Medium,Medium,Public,College,61
21,63,54,Low,Medium,Medium,Private,College,62
26,90,91,Medium,High,High,Private,High School,74
12,79,73,Medium,Medium,Medium,Private,High School,65
21,74,70,Low,Low,High,Public,High School,64
26,77,71,Medium,Medium,High,Public,Postgraduate,66
20,97,81,Medium,Medium,Medium,Public,High School,72
37,96,63,Medium,Medium,High,Private,High School,76
10,89,62,Medium,Low,Medium,Public,Postgraduate,67
26,95,74,Low,Low,Medium,Private,High School,71
19,73,52,Medium,Medium,Medium,Public,High School,65
25,75,82,Medium,Medium,High,Private,Postgraduate,68
23,85,91,Low,Low,High,Public,High School,68
16,85,86,Low,High,High,Private,High School,67
21,79,73,Medium,Low,Low,Public,High School,64
9,76,78,Low,Medium,Medium,Public,Postgraduate,60
24,99,51,Low,Low,Medium,Public,,70
22,93,96,High,High,Low,Private,College,73
24,77,78,Low,High,High,Private,High School,69
26,89,66,Medium,Low,Medium,Public,College,70
22,71,65,Low,Low,Medium,Public,College,64
21,64,83,High,Low,Low,Public,High School,64
15,74,79,Medium,High,Medium,Public,College,65
16,76,59,Low,Low,Medium,Public,College,62
27,61,70,Medium,Medium,Medium,Public,High School,64
29,93,84,Medium,High,Medium,Public,College,72
19,74,65,High,Low,High,Public,High School,64
20,83,75,Medium,Medium,Medium,Public,High School,67
15,63,63,Low,High,High,Private,College,64
27,67,54,Medium,Medium,Low,Private,High School,61
24,96,69,Medium,Low,Medium,Public,High School,72
32,84,87,Medium,Medium,Medium,Public,High School,70
15,98,61,Medium,Low,Medium,Public,High School,70
18,100,88,Medium,Medium,Medium,Public,College,71
21,75,83,Low,Medium,Medium,Public,College,68
24,72,75,Medium,High,Medium,Private,College,68
19,94,99,Medium,Low,Medium,Public,High School,70
15,100,94,High,Medium,High,Public,College,73
25,85,78,Low,Medium,High,Public,High School,69
24,92,78,High,Medium,Medium,Public,High School,71
15,91,64,Low,Low,High,Public,High School,64
28,74,96,Low,Medium,Medium,Private,High School,68
27,83,95,Medium,High,Low,Private,High School,69
21,93,87,Medium,Low,High,Public,High School,70
20,88,56,Medium,Low,Medium,Public,,67
23,61,85,Medium,Medium,High,Private,High School,66
15,73,63,Medium,Medium,Medium,Public,Postgraduate,65
20,66,59,Low,Medium,Medium,Public,College,66
7,69,88,Medium,Low,High,Private,Postgraduate,61
25,96,98,Medium,Low,Medium,Public,High School,71
11,61,55,Medium,High,Low,Public,High School,60
29,69,58,Medium,Low,Low,Public,College,66
18,72,61,Low,Medium,Medium,Private,College,61
19,85,98,High,Medium,Medium,Public,High School,68
16,81,85,High,Low,Medium,Public,College,68
18,69,84,Medium,Low,Medium,Public,High School,65
29,67,75,Medium,Low,Medium,Public,High School,65
5,69,77,Medium,Low,High,Public,College,60
28,80,65,Low,Low,Medium,Private,College,67
22,71,58,Medium,Low,Medium,Public,College,65
13,98,89,High,High,Medium,Public,High School,70
14,79,74,Medium,Medium,Medium,Public,High School,64
30,62,63,Medium,Low,High,Public,High School,68
14,89,82,High,Medium,Medium,Public,College,69
13,73,60,High,High,High,Public,College,65
27,86,74,Medium,High,High,Private,High School,71
22,71,60,Low,Medium,High,Public,High School,65
14,83,88,Low,High,Medium,Public,High School,65
21,91,66,High,Medium,Medium,Public,College,68
14,97,72,High,Low,Low,Public,High School,66
27,70,88,Medium,High,Medium,Public,High School,65
26,73,83,Low,Medium,Medium,Public,College,71
23,79,70,Medium,Medium,High,Public,Postgraduate,68
22,97,54,Medium,High,Medium,Public,College,70
31,96,96,Low,Low,High,Private,College,74
20,64,50,High,Low,Medium,Private,High School,62
13,65,87,Low,Medium,Medium,Public,High School,61
23,80,97,Medium,Medium,Medium,Private,High School,70
33,64,65,Medium,Medium,,Public,College,65
14,74,54,High,Low,Low,Public,High School,62
18,66,62,Medium,High,Medium,Public,High School,65
22,85,66,Low,Low,Medium,Private,College,68
20,98,73,Medium,Medium,Low,Private,High School,70
14,100,76,Low,Medium,Medium,Private,Postgraduate,68
27,75,86,Medium,Medium,Medium,Private,Postgraduate,69
34,84,95,Medium,Low,Medium,Private,Postgraduate,73
21,94,73,Medium,Medium,Medium,Private,College,71
15,65,87,Medium,Low,High,Private,High School,63
11,88,56,Low,Medium,Medium,Public,College,66
22,76,66,Low,Low,High,Private,Postgraduate,67
27,68,56,Medium,Low,High,Public,,64
23,76,85,Medium,Medium,Low,Public,High School,66
20,63,95,Medium,High,High,Public,College,69
16,88,94,High,Medium,Medium,Private,College,72
13,70,66,Medium,Medium,Medium,Public,High School,63
25,72,62,Medium,Low,Medium,Public,High School,67
25,65,64,Medium,Medium,Medium,Private,College,64
11,95,64,High,Low,Medium,Public,High School,68
30,80,54,High,High,Medium,Public,High School,71
23,83,57,Medium,Medium,High,Public,High School,67
28,83,61,Medium,Low,Medium,Private,Postgraduate,67
12,76,50,Medium,Medium,High,Public,College,64
12,68,52,Low,High,High,Public,College,63
19,90,85,Medium,Medium,Medium,Public,College,72
23,65,81,Low,Low,Medium,Public,High School,63
31,64,97,Low,Medium,Medium,Private,High School,67
24,88,70,Medium,Low,Medium,Private,Postgraduate,68
19,68,72,High,Low,High,Private,College,64
14,72,53,Medium,Medium,Medium,Public,Postgraduate,65
27,79,58,High,Medium,Medium,Private,Postgraduate,68
14,78,85,Medium,Low,Medium,Private,High School,66
30,88,62,High,Low,Medium,Private,College,73
18,85,89,Medium,High,Medium,Private,High School,68
30,86,85,High,Medium,Medium,Private,Postgraduate,72
24,89,87,Medium,High,Medium,Public,High School,70
19,72,85,High,Low,Medium,Private,College,66
17,73,85,High,Medium,Medium,Public,College,66
18,78,77,Medium,Medium,High,Private,College,66
23,72,84,Low,Low,Medium,Public,High School,65
20,99,76,High,Low,Medium,Public,College,71
16,93,60,Medium,Medium,Medium,Public,High School,66
19,67,61,High,Medium,,Private,College,63
20,60,70,Medium,Low,Medium,Public,Postgraduate,63
7,62,51,Low,Medium,Low,Public,College,58
23,70,94,Low,Medium,High,Public,,68
14,65,63,Medium,Low,Medium,Public,High School,61
13,81,53,Low,Low,Medium,Public,High School,65
10,94,71,Medium,High,Medium,Public,High School,67
9,89,91,Medium,High,Low,Public,Postgraduate,67
12,69,70,Medium,Medium,Medium,Private,High School,62
16,76,63,High,Low,Medium,Public,High School,86
32,80,77,Low,Medium,Medium,Public,College,71
17,92,79,Medium,Low,Medium,Public,Postgraduate,70
21,94,88,Medium,Medium,Medium,Public,College,71
22,96,90,High,Low,Medium,Public,College,71
21,80,85,Low,High,Medium,Public,College,70
20,88,50,Medium,Low,Medium,Public,High School,67
13,64,50,High,Medium,Low,Public,High School,60
29,83,99,Medium,Medium,High,Public,College,73
31,70,63,High,Medium,Medium,Public,High School,67
10,77,64,High,Low,Medium,Private,College,62
14,85,87,High,Medium,Medium,Public,College,67
18,70,79,Medium,Medium,High,Public,College,65
14,62,73,Medium,Low,Medium,Public,High School,61
23,60,56,Low,Low,Medium,Private,High School,61
16,61,54,Low,Low,Medium,Private,High School,60
33,60,85,Low,Low,Low,Public,High School,68
27,64,56,Low,Low,High,Public,College,65
21,70,72,Low,Medium,Low,Public,Postgraduate,67
26,69,87,Low,Medium,Low,Public,Postgraduate,67
27,99,96,Low,High,Medium,Private,College,74
17,72,94,Low,Medium,Medium,Public,High School,64
15,65,93,Low,Low,Low,Private,College,64
20,82,68,Medium,Low,High,Public,High School,67
25,94,96,High,Medium,Medium,Public,High School,74
21,87,84,High,Low,Low,Private,College,69
11,72,94,High,Low,Low,Public,High School,62
15,82,54,Medium,Medium,Medium,Public,College,66
20,89,52,Low,Medium,Medium,Public,College,69
20,89,71,Medium,Medium,Medium,Public,Postgraduate,68
32,87,91,Medium,High,Medium,Public,High School,74
12,95,70,Medium,Medium,High,Public,High School,68
23,95,94,High,Medium,Medium,Public,High School,73
29,83,62,Low,High,Medium,Public,College,70
34,77,52,Medium,Medium,Medium,Private,High School,69
18,86,88,Medium,Medium,High,Public,College,68
23,93,81,High,Low,Medium,Private,College,71
23,60,72,Low,High,Medium,Public,College,64
21,100,92,Low,Low,Low,Public,Postgraduate,71
19,67,91,Medium,Low,High,Public,High School,65
23,79,66,High,High,Medium,Private,Postgraduate,68
5,95,92,Low,Low,High,Private,College,67
24,69,67,Medium,Medium,High,Public,Postgraduate,67
21,79,81,Low,Medium,Medium,Public,High School,67
19,65,60,Low,Low,Medium,Public,Postgraduate,63
32,76,63,Medium,Medium,Low,Public,High School,68
16,67,72,Medium,Low,High,Public,Postgraduate,66
18,75,66,High,High,High,Public,High School,67
32,75,56,Medium,Medium,Medium,Public,College,68
15,100,74,Medium,High,Medium,Private,Postgraduate,72
17,100,76,Low,Low,High,Private,Postgraduate,70
19,65,58,Low,Medium,Medium,Public,High School,62
25,89,59,Medium,Low,Medium,Public,College,69
21,62,51,Low,Low,Medium,Private,High School,61
12,61,52,Low,Low,Medium,Public,High School,58
17,64,68,Medium,Medium,Medium,Private,High School,63
16,99,57,High,Medium,Medium,Public,College,71
20,98,96,Low,Low,High,Public,College,70
23,68,60,Medium,Low,Medium,Public,High School,64
23,66,53,Low,Medium,Medium,Public,College,63
9,70,70,Low,Medium,Medium,Public,College,63
26,81,60,High,Low,High,Public,Postgraduate,71
22,83,53,Medium,Low,Low,Public,Postgraduate,65
28,69,88,Low,Low,Medium,Public,High School,68
23,90,78,High,Medium,Medium,Private,High School,70
27,72,53,Medium,Medium,Low,Public,High School,68
23,97,73,Medium,Low,Medium,Private,High School,69
28,86,52,Medium,Medium,Medium,Public,College,70
23,77,68,Low,High,High,Private,High School,67
19,92,68,Medium,Medium,Medium,Public,High School,69
34,93,91,Low,High,Medium,Public,,73
25,72,87,Low,Medium,Low,Public,Postgraduate,68
23,74,95,Medium,Low,Medium,Public,College,67
12,97,57,Low,Low,Medium,Private,College,67
12,67,77,Medium,Low,High,Private,College,64
22,62,51,Medium,Low,Medium,Public,High School,63
21,78,91,Medium,Medium,Low,Private,Postgraduate,67
16,92,68,Medium,Medium,High,Public,High School,70
21,91,53,High,Medium,Medium,Public,Postgraduate,71
30,97,66,High,Medium,Medium,Private,College,74
24,81,64,High,High,Low,Public,High School,70
13,64,88,Medium,Medium,Medium,Public,College,59
19,84,56,Medium,Low,Medium,Private,High School,64
15,91,78,Low,Medium,High,Public,High School,67
18,64,90,Medium,Low,Medium,Public,High School,63
18,67,87,Medium,Low,Low,Public,College,66
17,60,97,Medium,Medium,Medium,Private,College,62
12,84,50,Medium,High,High,Public,High School,65
19,95,68,Medium,High,Medium,Public,College,73
17,87,68,High,Medium,High,Public,High School,70
2,99,52,Low,Medium,Medium,Public,High School,62
32,63,91,Medium,High,Low,Public,High School,68
27,96,84,Medium,High,Medium,Public,College,74
18,93,76,Low,Medium,Medium,Private,High School,96
20,73,70,High,Low,High,Public,High School,66
13,99,95,Medium,Low,Medium,Public,Postgraduate,69
30,72,63,Medium,Low,Medium,Public,Postgraduate,70
31,96,67,Medium,Medium,Medium,Private,College,73
21,95,98,Low,Low,High,Public,High School,69
26,90,53,Medium,Low,Medium,Private,High School,71
21,83,89,Low,Low,Low,Public,College,65
12,65,86,Medium,Medium,Medium,Public,Postgraduate,62
18,81,95,Low,Medium,,Public,High School,69
21,74,55,High,Low,Medium,Public,College,65
17,92,99,Medium,Medium,Medium,Public,College,68
19,90,51,High,Low,Medium,Public,Postgraduate,65
19,96,67,Medium,High,Medium,Private,High School,72
20,61,54,Medium,High,Medium,Private,Postgraduate,67
20,92,53,Medium,Medium,High,Private,College,68
14,98,98,Medium,Medium,High,Public,High School,68
16,92,86,Low,Medium,Medium,Private,College,66
12,65,75,High,High,Medium,Private,High School,62
26,63,55,Medium,Medium,High,Public,High School,65
7,61,76,High,Medium,Medium,Private,High School,60
27,85,66,Medium,Low,High,Private,High School,70
28,85,64,Low,Low,Medium,Public,High School,68
18,99,81,Low,Medium,Medium,Public,Postgraduate,72
4,76,90,Medium,High,Medium,Public,High School,63
18,73,72,Low,Medium,Medium,Private,High School,63
20,85,75,Low,Medium,Medium,Public,College,67
14,93,83,Low,Medium,Medium,Public,Postgraduate,68
17,97,56,Low,High,Medium,Public,High School,69
29,92,91,Low,High,High,Public,High School,75
24,77,92,High,High,Medium,Public,High School,67
14,85,77,Medium,Low,High,Public,High School,69
10,94,59,Low,Medium,Medium,Public,Postgraduate,65
18,80,75,Medium,Medium,Medium,Public,High School,65
19,69,55,Low,Low,Medium,Public,College,63
23,67,88,Medium,Medium,Medium,Private,High School,65
17,60,66,Medium,Low,Medium,Public,High School,58
23,89,66,Low,Low,High,Private,High School,70
32,64,97,Medium,Medium,Low,Public,College,66
25,70,71,Medium,Low,Medium,Public,College,63
20,72,89,Low,Low,Medium,Private,High School,62
19,82,82,High,Medium,Medium,Private,College,69
18,76,66,High,High,High,Public,High School,66
27,87,56,Medium,Low,High,Public,High School,68
16,62,90,Low,High,Medium,Public,Postgraduate,62
20,65,88,Medium,Medium,High,Public,High School,64
20,80,58,Low,Medium,Medium,Public,College,65
17,73,62,Low,Low,Medium,Private,College,64
12,72,88,High,High,Medium,Public,High School,65
22,63,99,Low,Medium,Medium,Private,High School,65
20,96,92,Medium,Medium,Medium,Public,College,70
23,88,84,High,Medium,Medium,Private,Postgraduate,71
17,65,96,Low,Medium,High,Public,College,65
27,63,64,Medium,High,High,Public,Postgraduate,67
15,99,50,High,Low,Medium,Public,High School,68
30,87,66,Low,Medium,Medium,Public,High School,73
10,77,99,Medium,Medium,High,Public,High School,64
23,88,94,Low,Low,Medium,Private,High School,71
23,90,53,Medium,Medium,High,Private,High School,70
15,91,75,Medium,Medium,Medium,Public,High School,68
23,79,54,Medium,Low,Medium,Private,College,68
28,77,89,Medium,Low,Medium,Public,High School,68
7,60,69,Low,Low,Medium,Private,College,59
23,97,96,Medium,Medium,High,Private,College,74
5,84,53,Low,Low,High,Public,Postgraduate,62
14,68,87,High,Medium,Medium,Public,High School,64
30,97,70,Medium,High,Medium,Public,Postgraduate,76
17,97,63,Medium,Low,Medium,Public,High School,70
13,100,76,Medium,Low,Low,Public,Postgraduate,69
19,95,74,High,Low,High,Public,,69
32,100,67,Medium,Medium,Medium,Public,High School,74
9,70,82,Low,High,High,Public,High School,62
14,94,83,High,Low,High,Public,Postgraduate,70
29,93,54,Medium,Low,High,Public,High School,71
31,69,80,Low,Medium,Medium,Public,College,68
19,64,86,Low,High,Medium,Private,Postgraduate,66
13,99,54,High,High,Medium,Public,High School,67
33,72,83,Low,Low,High,Private,High School,71
30,95,90,Medium,Medium,Medium,Public,High School,74
24,60,92,Low,Medium,Medium,Public,College,65
15,61,52,Medium,Medium,Medium,Private,High School,60
20,79,85,Low,Medium,Medium,Public,College,69
19,70,90,Low,Low,Medium,Private,High School,65
22,88,70,Medium,Low,Medium,Public,High School,69
29,83,77,High,Medium,Medium,Public,High School,70
25,63,63,Medium,Medium,High,Private,Postgraduate,65
14,67,66,Low,Low,Medium,Public,High School,57
28,76,75,Low,Medium,High,Public,High School,68
22,67,58,Medium,High,Low,Public,Postgraduate,67
24,92,69,Medium,Medium,Medium,Private,High School,70
29,77,65,Medium,Medium,Medium,Public,High School,68
13,64,62,Medium,Low,Medium,Public,College,62
20,79,74,Medium,Low,Medium,Public,High School,67
17,64,92,Medium,Medium,Medium,Private,Postgraduate,66
11,65,62,Medium,Medium,High,Public,College,60
22,70,83,Low,Medium,,Public,College,65
35,94,63,Medium,Low,High,Public,College,75
9,97,57,Medium,Medium,High,Public,High School,67
20,93,97,Medium,Low,Medium,Public,Postgraduate,71
24,73,82,Medium,Medium,Medium,Public,High School,63
21,71,55,Low,High,High,Public,Postgraduate,67
19,82,82,Low,Low,Medium,Private,Postgraduate,68
12,89,59,Low,Low,High,Public,High School,65
21,100,94,Medium,High,Medium,Public,College,72
15,65,62,Medium,Medium,Medium,Public,High School,61
7,62,90,Medium,Medium,Low,Public,College,60
27,88,60,Medium,Low,Medium,Public,High School,72
26,93,78,Medium,Medium,Medium,Public,Postgraduate,72
20,94,96,Medium,Medium,Medium,Private,College,70
21,87,65,High,Medium,Medium,Public,College,67
26,98,54,Medium,Low,High,Private,Postgraduate,71
21,80,78,Medium,Medium,Medium,Private,Postgraduate,66
25,97,59,Low,Low,High,Public,High School,72
18,99,86,Medium,High,Medium,Public,High School,70
28,94,80,Medium,High,Medium,Public,High School,71
22,72,67,High,Medium,Medium,Public,College,64
21,68,85,Medium,High,Medium,Public,College,66
12,82,62,Low,Medium,Medium,Public,High School,64
22,78,96,Medium,Low,Medium,Public,High School,67
15,95,67,High,Medium,Medium,Public,High School,67
16,64,88,Medium,Medium,High,Public,High School,64
15,70,63,Low,Medium,Medium,Private,High School,61
14,90,86,Medium,Medium,Medium,Private,High School,99
33,64,52,Low,High,Medium,Public,High School,67
28,73,65,High,High,High,Public,Postgraduate,72
32,75,55,Medium,Medium,Medium,Public,High School,66
13,85,73,High,Medium,High,Public,Postgraduate,68
20,66,72,Low,Medium,High,Public,College,64
12,94,68,High,High,Medium,Public,High School,69
16,78,99,Low,Low,Medium,Public,High School,65
14,97,62,Medium,Medium,Medium,Public,Postgraduate,66
27,79,90,Low,Medium,High,Public,High School,73
18,71,72,Low,Low,Medium,Public,High School,63
26,66,67,High,Medium,Medium,Public,High School,66
24,60,60,Low,Low,High,Private,Postgraduate,65
34,81,82,Low,Medium,High,Public,High School,71
11,64,67,High,Medium,Medium,Public,College,58
28,76,91,Medium,Low,High,Private,High School,68
27,84,98,Medium,Low,Medium,Public,High School,69
14,71,61,Low,Low,Medium,Public,Postgraduate,63
26,67,56,Medium,Medium,Medium,Public,College,66
22,91,66,Medium,High,High,Public,College,69
19,98,73,Medium,Low,Medium,Private,College,69
15,64,65,Medium,Medium,Medium,Public,High School,63
16,66,99,Medium,Low,Medium,Public,College,65
32,98,89,Medium,High,Low,Private,College,76
20,62,98,High,High,High,Public,Postgraduate,67
25,99,69,Medium,Low,High,Public,Postgraduate,70
15,60,65,Medium,Medium,High,Public,College,60
15,95,70,Medium,High,High,Public,High School,68
26,72,76,Medium,Medium,Medium,Public,Postgraduate,68
12,98,87,Medium,Low,Medium,Private,Postgraduate,70
18,73,94,High,High,Medium,Private,Postgraduate,68
20,86,73,Medium,Low,Low,Public,High School,69
21,63,64,Medium,Low,Medium,Public,High School,62
19,70,66,Medium,High,Low,Private,College,64
22,91,85,Low,Medium,Medium,Private,High School,71
24,81,78,Medium,Low,Medium,Public,High School,68
24,97,74,High,Medium,Low,Public,High School,72
14,77,60,Low,High,High,Private,Postgraduate,64
18,95,94,Medium,Low,High,Public,High School,73
27,78,89,Low,Low,Medium,Public,Postgraduate,69
25,99,57,Medium,Medium,Low,Private,Postgraduate,70
12,98,68,Medium,Low,High,Public,High School,69
22,73,77,Medium,High,Medium,Public,High School,64
8,95,73,Low,Medium,Medium,Private,College,66
20,94,70,High,Medium,Medium,Public,High School,69
31,68,86,Low,Low,Medium,Private,High School,68
14,85,53,Medium,Medium,Medium,Public,High School,65
15,63,74,Medium,Low,Medium,Public,High School,62
25,93,63,Medium,High,Medium,Public,Postgraduate,75
11,67,54,Low,Low,Medium,Public,High School,60
16,63,73,Medium,Medium,Medium,Public,College,63
24,76,59,Medium,Medium,Medium,Public,College,66
16,83,63,Medium,Medium,Medium,Public,Postgraduate,67
19,94,75,Medium,Medium,Medium,Public,College,68
24,99,99,Medium,Low,Medium,Public,High School,72
23,78,84,High,Low,Medium,Private,College,66
22,62,64,Medium,Low,Medium,Public,Postgraduate,63
18,90,69,Medium,High,High,Private,College,71
22,83,70,High,Low,Medium,Public,College,67
19,78,58,Medium,Low,Medium,Public,Postgraduate,66
23,72,58,Medium,Low,High,Private,College,66
17,80,57,Medium,Low,Medium,Public,College,68
19,74,76,High,High,Medium,Public,College,66
14,90,84,Medium,Low,Medium,Public,Postgraduate,68
20,82,80,Medium,Low,Medium,Public,College,68
15,95,99,Low,High,High,Public,High School,68
13,82,56,Low,Low,High,Private,Postgraduate,66
22,70,99,Medium,Low,High,Private,High School,66
21,94,73,Low,Medium,High,Public,Postgraduate,70
25,82,61,Low,High,Medium,Public,High School,68
17,68,97,High,High,Low,Public,High School,65
22,85,73,High,Medium,Medium,Private,College,70
23,74,67,Medium,High,Medium,Private,High School,66
23,94,61,Medium,Medium,Medium,Public,Postgraduate,68
15,78,63,High,Medium,Medium,Private,College,64
21,89,99,Medium,Medium,Medium,Private,High School,69
22,64,65,Low,Medium,Medium,Private,Postgraduate,65
20,76,99,Low,Medium,High,Public,Postgraduate,69
7,99,67,Low,High,High,Private,High School,66
21,92,62,Medium,Medium,Low,Public,High School,68
33,66,59,Medium,High,Medium,Public,Postgraduate,70
18,71,71,Medium,Medium,High,Public,High School,65
16,73,62,Medium,High,High,Private,High School,65
22,86,85,Medium,Medium,Medium,Public,Postgraduate,68
22,90,62,Low,Medium,Medium,Public,College,67
27,90,92,Medium,Low,Medium,Private,High School,72
12,80,92,High,High,High,Public,Postgraduate,70
24,92,64,High,High,High,Private,College,72
24,77,88,Low,High,Medium,Public,College,71
19,65,93,Low,Medium,High,Private,College,64
22,83,80,Medium,Medium,Medium,Public,High School,69
26,98,68,Medium,Low,Medium,Public,High School,73
25,92,72,Medium,Low,Medium,Public,Postgraduate,70
13,83,89,Medium,Low,Medium,Public,Postgraduate,68
25,86,65,Medium,Medium,High,Public,High School,71
20,97,67,Low,Low,High,Private,Postgraduate,71
20,77,58,High,High,Medium,Public,High School,66
20,73,70,Low,High,High,Public,High School,68
19,99,54,Low,Medium,Medium,Public,Postgraduate,70
27,95,66,Low,Medium,Medium,Public,High School,72
19,73,69,High,Low,Low,Public,Postgraduate,66
13,79,63,Low,High,Medium,Private,High School,65
18,77,55,High,High,Medium,Private,High School,66
21,66,76,Low,Low,Medium,Private,High School,65
27,98,93,Low,Low,Medium,Private,High School,72
24,76,67,Medium,High,Medium,Public,College,68
15,95,62,High,High,Medium,Public,College,68
35,68,64,Medium,High,Low,Public,High School,67
22,82,93,Low,Low,Medium,Public,High School,68
28,61,76,High,Medium,High,Public,High School,67
19,91,57,Low,High,High,Public,High School,69
23,83,85,Medium,Low,Medium,Private,High School,65
25,85,58,Medium,Medium,High,Public,College,70
27,62,53,Low,Medium,Medium,Public,High School,64
26,68,63,Medium,Low,High,Public,High School,66
25,63,58,Medium,High,Medium,Public,College,64
18,72,80,High,High,High,Public,High School,66
17,85,74,Medium,Medium,Medium,Private,High School,67
22,83,86,Medium,Medium,Low,Public,High School,68
26,84,76,Medium,Medium,High,Public,High School,71
19,82,71,Medium,Low,High,Private,College,67
26,71,76,Medium,Low,Medium,Public,Postgraduate,69
29,70,72,Low,Medium,Medium,Public,College,67
15,65,52,Medium,Low,Medium,Private,High School,61
15,94,84,Medium,Medium,High,Public,High School,68
19,85,98,Medium,Medium,Low,Private,High School,67
22,67,71,Low,Medium,High,Public,College,64
17,67,71,Medium,Medium,High,Public,High School,63
28,95,52,High,High,High,Public,College,72
23,90,95,Low,Low,Medium,Public,High School,69
20,86,96,Medium,High,Low,Public,High School,66
11,76,91,Low,High,High,Private,College,64
12,70,55,Medium,Medium,High,Public,High School,61
22,99,95,Medium,Low,Low,Public,High School,71
7,92,51,Medium,High,Medium,Public,High School,63
26,72,72,Low,Medium,Low,Public,High School,65
19,94,75,Medium,High,Medium,Public,College,71
39,90,92,High,Medium,High,Private,High School,78
34,72,88,Low,High,Medium,Private,Postgraduate,73
19,77,90,Low,Low,High,Private,College,65
19,67,93,High,Medium,Medium,Public,Postgraduate,66
26,64,74,Low,Medium,High,Public,High School,66
30,89,89,Medium,High,Medium,Public,Postgraduate,74
10,71,53,Low,High,Medium,Private,High School,62
9,93,72,Low,Medium,Medium,Public,College,66
16,100,52,Medium,Low,Medium,Public,High School,71
23,63,96,Medium,High,Medium,Public,High School,67
23,79,98,Low,Medium,High,Public,College,69
26,92,54,Medium,High,Medium,Public,High School,72
13,92,77,Medium,High,Medium,Public,Postgraduate,72
6,90,66,Medium,Medium,High,Public,High School,65
25,74,67,High,Medium,Medium,Public,Postgraduate,71
15,78,73,Medium,High,High,Private,College,64
8,84,56,Low,Low,Medium,Public,High School,61
21,99,59,Low,High,High,Public,College,69
25,73,79,Medium,Low,Medium,Private,High School,65
19,97,51,High,Low,High,Public,College,69
17,71,80,Low,High,Low,Public,High School,64
19,100,66,High,High,Medium,Public,Postgraduate,69
18,87,92,Low,Low,Medium,Private,High School,68
12,79,80,Low,High,Medium,Public,College,63
16,85,85,High,Medium,High,Public,High School,66
23,71,56,Low,Medium,,Private,,65
22,71,63,Medium,Medium,High,Public,High School,66
21,65,100,Medium,Medium,Medium,Public,Postgraduate,67
14,65,72,Low,Low,High,Private,High School,62
19,74,68,Medium,Low,High,Public,High School,66
7,91,94,High,High,Medium,Public,Postgraduate,68
21,84,52,Medium,High,High,Public,High School,68
29,64,77,Medium,Low,High,Public,High School,63
11,94,61,Medium,Medium,Low,Public,College,66
16,84,68,Low,Medium,Medium,Private,,65
22,98,60,Medium,High,Medium,Public,High School,72
28,87,52,Medium,Low,Low,Private,Postgraduate,70
17,67,71,Medium,Medium,Medium,Public,High School,63
16,79,89,Medium,Low,High,Private,High School,65
8,86,98,Low,Low,Medium,Private,College,65
21,61,81,Medium,Medium,Medium,Private,Postgraduate,66
32,61,69,High,High,Medium,Public,High School,68
22,65,88,Low,Medium,Medium,Public,College,64
20,70,75,Low,Medium,Medium,Public,College,66
22,77,68,Medium,High,High,Public,High School,68
20,79,59,Medium,Low,Medium,Public,High School,64
15,66,90,Low,Medium,Medium,Public,College,62
25,87,75,Medium,Low,Medium,Private,High School,67
21,84,98,Medium,Low,Medium,Public,High School,67
20,72,90,Low,Medium,Medium,Private,Postgraduate,65
14,61,71,Medium,Low,Medium,Public,High School,59
28,63,87,Low,Low,Medium,Public,High School,66
24,76,73,Medium,Medium,Medium,Public,High School,68
17,66,54,Medium,High,Low,Public,High School,63
26,75,76,Medium,Medium,Medium,Public,College,68
17,85,93,Low,Medium,High,Public,College,68
15,82,93,Medium,Low,High,Public,High School,66
15,69,79,Low,Medium,,Private,High School,63
9,74,69,Low,Low,Medium,Private,,61
23,85,51,Low,High,Low,Public,College,68
9,94,66,Low,Low,High,Public,College,66
13,90,99,High,High,Medium,Public,College,69
8,82,86,Medium,Low,Medium,Public,Postgraduate,64
19,74,86,High,High,Medium,Private,Postgraduate,68
19,75,88,Low,Low,High,Public,High School,66
18,95,81,Medium,Low,Medium,Public,High School,68
14,62,79,Low,Medium,Medium,Private,High School,62
13,100,73,Low,Low,Medium,Public,Postgraduate,68
23,87,72,Medium,Low,High,Private,College,69
17,87,94,Medium,Low,Medium,Private,High School,70
22,62,70,Low,Low,Medium,Public,College,65
15,84,92,Medium,Medium,Medium,Public,College,68
21,79,92,Low,Low,Medium,Public,Postgraduate,67
28,64,89,Medium,Low,Low,Public,College,64
24,71,52,Medium,Medium,Medium,Public,College,63
18,96,57,Medium,Medium,Medium,Public,High School,67
22,82,66,Medium,Low,High,Private,High School,66
19,77,92,Medium,Low,Medium,Public,High School,67
20,63,94,Medium,Medium,Medium,Public,High School,63
18,89,52,Medium,High,High,Public,High School,69
19,88,66,Medium,Medium,Medium,Public,High School,70
21,85,93,Medium,High,Medium,Public,High School,70
14,80,62,Medium,High,Medium,Private,Postgraduate,65
14,77,99,Low,Medium,Medium,Public,Postgraduate,64
12,84,74,High,Medium,High,Public,College,67
