"Hours_Studied","Attendance","Previous_Scores","Motivation_Level","Family_Income","Teacher_Quality","School_Type","Parental_Education_Level","Exam_Score","gruppi","Previous_Level","Score_Groups","Study_level"
16,82,65,"High","Low","Medium","Private","Postgraduate",67,"11-20","2","2","2"
18,69,60,"Medium","Low","Medium","Public","College",64,"11-20","1","1","2"
15,78,81,"Medium","Medium","Low","Public","High School",64,"11-20","2","1","2"
30,79,65,"Medium","Low","Medium","Public","Postgraduate",70,"21-30","2","3","4"
15,93,52,"Medium","Low","Medium","Public","College",68,"11-20","1","2","2"
17,96,77,"Medium","Medium","Medium","Public","Postgraduate",70,"11-20","2","3","2"
21,77,94,"Low","Medium","High","Public","High School",65,"21-30","3","1","3"
13,61,73,"Low","High","Medium","Public","High School",59,"11-20","2","1","2"
18,94,69,"Medium","Medium","High","Public","High School",69,"11-20","2","2","2"
22,67,59,"High","Low","High","Public","Postgraduate",67,"21-30","1","2","3"
18,85,69,"Medium","Low","Medium","Private","High School",68,"11-20","2","2","2"
19,61,67,"Low","Medium","Medium","Public","College",62,"11-20","2","1","2"
17,76,100,"Low","High","Medium","Private","High School",65,"11-20","3","1","2"
11,99,52,"Medium","High","High","Private","College",69,"11-20","1","2","2"
22,64,62,"Medium","Low","Medium","Private","Postgraduate",65,"21-30","1","1","3"
31,77,53,"High","Medium","Medium","Public","High School",68,"30+","1","2","4"
20,72,93,"Medium","Low","High","Public","High School",68,"11-20","3","2","3"
21,96,71,"High","Medium","Medium","Public","High School",71,"21-30","2","3","3"
24,95,90,"Medium","Low","Low","Public","High School",71,"21-30","3","3","3"
12,70,85,"High","High","Medium","Public","Postgraduate",66,"11-20","2","2","2"
30,63,96,"Medium","Low","Medium","Private","Postgraduate",71,"21-30","3","3","4"
21,85,51,"Low","Low","Medium","Public","College",66,"21-30","1","2","3"
30,73,60,"Medium","Low","Low","Private","High School",66,"21-30","1","2","4"
16,87,85,"Medium","Medium","High","Public","High School",69,"11-20","2","2","2"
31,61,79,"Medium","Low","Low","Public","High School",65,"30+","2","1","4"
25,65,85,"Medium","Low","Medium","Public","Postgraduate",66,"21-30","2","2","3"
23,87,79,"Medium","Medium","Medium","Public","High School",67,"21-30","2","2","3"
21,68,79,"Low","High","High","Private","Postgraduate",66,"21-30","2","2","3"
19,94,97,"Medium","Medium","Medium","Public","High School",69,"11-20","3","2","2"
27,62,96,"Medium","Low","Medium","Public","High School",66,"21-30","3","2","3"
21,69,52,"Low","Low","Medium","Public","Postgraduate",64,"21-30","1","1","3"
8,100,71,"Medium","Low","High","Public","Postgraduate",70,"0-10","2","3","1"
13,77,76,"Low","Medium","Low","Private","College",62,"11-20","2","1","2"
19,88,68,"High","Low","Low","Public","High School",67,"11-20","2","2","2"
22,67,52,"Medium","Medium","Low","Public","College",60,"21-30","1","1","3"
20,84,74,"Low","High","Medium","Public","Postgraduate",66,"11-20","2","2","3"
27,89,99,"Medium","Medium","High","Public","High School",72,"21-30","3","3","3"
8,73,54,"Medium","Medium","Medium","Public","High School",63,"0-10","1","1","1"
21,93,91,"Low","High","Medium","Public","Postgraduate",69,"21-30","3","2","3"
9,84,60,"High","Low","Medium","Private","College",66,"0-10","1","2","1"
25,76,79,"Medium","Medium","Medium","Public","College",69,"21-30","2","2","3"
19,82,69,"Low","Medium","Medium","Private","College",68,"11-20","2","2","2"
23,83,67,"Medium","Low","Low","Public","High School",66,"21-30","2","2","3"
15,67,94,"Low","High","Low","Private","Postgraduate",63,"11-20","3","1","2"
28,76,99,"High","Medium","Medium","Public","High School",70,"21-30","3","3","3"
26,74,69,"Medium","Low","High","Public","Postgraduate",68,"21-30","2","2","3"
24,76,82,"Medium","Medium","Medium","Public","College",68,"21-30","2","2","3"
19,90,78,"Medium","Low","Medium","Private","High School",67,"11-20","2","2","2"
23,79,54,"Low","Low","Medium","Public","High School",67,"21-30","1","2","3"
16,98,52,"Medium","Low","High","Public","College",69,"11-20","1","2","2"
25,72,89,"Low","Low","High","Public","High School",68,"21-30","3","2","3"
30,77,70,"Medium","Medium","High","Public","High School",67,"21-30","2","2","4"
26,91,65,"Low","Medium","High","Public","High School",70,"21-30","2","3","3"
16,82,99,"Low","Medium","Medium","Public","Postgraduate",70,"11-20","3","3","2"
22,82,54,"Medium","Medium","Medium","Public","College",66,"21-30","1","2","3"
12,62,63,"High","Low","Medium","Private","High School",61,"11-20","1","1","2"
23,76,93,"Medium","Low","Medium","Public","College",68,"21-30","3","2","3"
23,71,71,"Low","Low","Low","Public","Postgraduate",64,"21-30","2","1","3"
9,100,79,"Medium","Low","Medium","Public","Postgraduate",66,"0-10","2","2","1"
13,72,52,"Medium","High","High","Private","High School",65,"11-20","1","1","2"
18,95,96,"Medium","Medium","Low","Public","Postgraduate",73,"11-20","3","3","2"
18,87,57,"Medium","High","High","Public","High School",66,"11-20","1","2","2"
13,74,61,"Medium","Low","Medium","Public","High School",65,"11-20","1","1","2"
22,82,58,"Medium","Medium","Medium","Public","College",68,"21-30","1","2","3"
22,94,75,"Low","Low","High","Public","High School",69,"21-30","2","2","3"
19,95,91,"High","Medium","High","Public","College",72,"11-20","3","3","2"
15,66,63,"Medium","Medium","Medium","Private","High School",63,"11-20","1","1","2"
26,74,57,"Medium","Medium","Medium","Private","High School",65,"21-30","1","1","3"
30,73,70,"Low","Medium","Medium","Public","College",69,"21-30","2","2","4"
17,62,99,"Medium","Medium","Medium","Private","High School",62,"11-20","3","1","2"
16,84,51,"Low","Medium","Medium","Public","Postgraduate",66,"11-20","1","2","2"
23,94,75,"Medium","Low","Medium","Private","Postgraduate",69,"21-30","2","2","3"
18,75,83,"Medium","Low","Medium","Public","Postgraduate",67,"11-20","2","2","2"
19,90,90,"Low","Low","Medium","Public","College",94,"11-20","3","3","2"
24,85,87,"High","Medium","Medium","Private","High School",71,"21-30","2","3","3"
9,75,54,"Low","Low","Medium","Public","High School",61,"0-10","1","1","1"
28,66,73,"Medium","Low","Medium","Public","College",68,"21-30","2","2","3"
20,88,54,"Low","High","Low","Public","High School",66,"11-20","1","2","3"
18,94,81,"Medium","High","Low","Public","High School",71,"11-20","2","3","2"
19,87,54,"Low","Low","High","Public","High School",66,"11-20","1","2","2"
20,61,52,"Medium","Low","Low","Private","Postgraduate",60,"11-20","1","1","3"
10,69,65,"Low","Medium","Medium","Private","High School",60,"0-10","2","1","2"
29,63,97,"High","Medium","High","Public","High School",66,"21-30","3","2","3"
20,83,85,"Medium","High","High","Public","College",67,"11-20","2","2","3"
23,90,50,"Low","Medium","Medium","Private","High School",67,"21-30","1","2","3"
26,64,64,"Medium","High","Medium","Public","High School",64,"21-30","2","1","3"
14,94,51,"Medium","Medium","High","Public","College",66,"11-20","1","2","2"
23,82,65,"High","Medium","High","Public","High School",68,"21-30","2","2","3"
18,88,84,"Medium","Medium","High","Public","Postgraduate",70,"11-20","2","3","2"
25,99,88,"Medium","Low","Medium","Private","College",75,"21-30","3","3","3"
7,63,90,"Medium","Low","Medium","Private","High School",86,"0-10","3","3","1"
19,96,95,"High","Medium","High","Private","College",73,"11-20","3","3","2"
16,65,68,"Medium","High","Medium","Public","High School",61,"11-20","2","1","2"
23,76,93,"Medium","Medium","Medium","Private","High School",68,"21-30","3","2","3"
23,94,86,"Medium","Low","High","Public","College",70,"21-30","2","3","3"
16,96,77,"High","High","High","Public","High School",71,"11-20","2","3","2"
16,80,98,"High","Medium","High","Private","Postgraduate",71,"11-20","3","3","2"
19,84,97,"High","Medium","Medium","Public","College",68,"11-20","3","2","2"
15,88,95,"Medium","Low","Medium","Public","High School",70,"11-20","3","3","2"
25,93,60,"Low","Medium","Medium","Public","College",70,"21-30","1","3","3"
18,65,60,"Low","Medium","High","Private","High School",62,"11-20","1","1","2"
3,92,95,"High","Medium","Medium","Public","Postgraduate",67,"0-10","3","2","1"
18,79,70,"High","Medium","Medium","Public","College",68,"11-20","2","2","2"
14,78,90,"Medium","Medium","Medium","Public","Postgraduate",68,"11-20","3","2","2"
10,77,84,"Low","Low","High","Private","High School",64,"0-10","2","1","2"
13,80,88,"Medium","High","High","Public","Postgraduate",68,"11-20","3","2","2"
21,98,51,"Medium","Medium","Medium","Public","High School",69,"21-30","1","2","3"
28,82,71,"Low","Medium","High","Public","High School",70,"21-30","2","3","3"
22,98,93,"Medium","Low","Medium","Public","High School",73,"21-30","3","3","3"
16,67,74,"Medium","High","High","Public","Postgraduate",66,"11-20","2","2","2"
23,89,85,"Low","Low","Medium","Public","Postgraduate",68,"21-30","2","2","3"
17,92,88,"High","High","Medium","Public","High School",68,"11-20","3","2","2"
16,87,56,"Low","Medium","High","Private","Postgraduate",65,"11-20","1","1","2"
13,84,58,"High","Low","Low","Public","Postgraduate",66,"11-20","1","2","2"
9,83,86,"Medium","Low","Medium","Public","College",62,"0-10","2","1","1"
18,94,53,"Low","Medium","High","Private","High School",67,"11-20","1","2","2"
21,93,67,"High","Medium","High","Public","Postgraduate",73,"21-30","2","3","3"
19,65,96,"Medium","Medium","High","Private","Postgraduate",65,"11-20","3","1","2"
18,94,79,"High","High","Medium","Private","High School",70,"11-20","2","3","2"
14,77,96,"Medium","Medium","Medium","Public","Postgraduate",68,"11-20","3","2","2"
24,70,65,"Medium","Medium","Low","Private","High School",67,"21-30","2","2","3"
12,95,82,"High","Low","Medium","Public","High School",66,"11-20","2","2","2"
25,77,64,"Low","Low","Medium","Public","College",65,"21-30","2","1","3"
14,92,56,"Low","Medium","Medium","Public","High School",66,"11-20","1","2","2"
15,71,100,"Low","Low","Low","Public","High School",66,"11-20","3","2","2"
11,60,59,"High","Low","Medium","Public","College",60,"11-20","1","1","2"
17,80,59,"Medium","High","High","Public","College",66,"11-20","1","2","2"
26,64,92,"Low","Low","High","Private","College",68,"21-30","3","2","3"
23,90,90,"Low","Low","Medium","Public","High School",72,"21-30","3","3","3"
26,71,99,"Medium","Medium","Medium","Public","College",68,"21-30","3","2","3"
23,78,54,"High","Low","Medium","Public","Postgraduate",67,"21-30","1","2","3"
13,63,55,"High","Medium","Low","Public","Postgraduate",62,"11-20","1","1","2"
18,71,72,"High","High","High","Public","College",66,"11-20","2","2","2"
15,91,80,"Medium","Low","Medium","Private","Postgraduate",69,"11-20","2","2","2"
28,66,52,"Low","Low","High","Public","High School",64,"21-30","1","1","3"
13,86,58,"Medium","Medium","Medium","Private","High School",63,"11-20","1","1","2"
25,97,85,"Medium","High","Medium","Public","",74,"21-30","2","3","3"
25,87,83,"Medium","Medium","High","Private","College",72,"21-30","2","3","3"
31,92,54,"Medium","Low","Medium","Private","College",71,"30+","1","3","4"
18,64,97,"Medium","Medium","Medium","Public","High School",64,"11-20","3","1","2"
24,70,63,"Low","Low","Medium","Public","High School",65,"21-30","1","1","3"
34,96,94,"High","Medium","High","Public","High School",75,"30+","3","3","4"
16,89,96,"Medium","Medium","Low","Public","College",69,"11-20","3","2","2"
11,86,75,"Medium","Medium","Low","Public","Postgraduate",65,"11-20","2","1","2"
9,87,71,"Low","Low","High","Public","College",60,"0-10","2","1","1"
24,77,64,"Medium","High","Medium","Public","High School",69,"21-30","2","2","3"
9,62,90,"High","High","Medium","Public","College",65,"0-10","3","1","1"
18,91,60,"Low","High","High","Private","High School",67,"11-20","1","2","2"
23,87,81,"Low","Medium","High","Private","High School",70,"21-30","2","3","3"
21,79,78,"Low","Low","High","Public","College",66,"21-30","2","2","3"
23,96,62,"Medium","Low","High","Public","High School",69,"21-30","1","2","3"
21,73,99,"Medium","Medium","High","Public","Postgraduate",69,"21-30","3","2","3"
28,72,92,"Low","Medium","Medium","Public","High School",68,"21-30","3","2","3"
14,95,51,"Medium","Medium","Medium","Private","College",70,"11-20","1","3","2"
16,92,71,"High","Low","Medium","Private","High School",66,"11-20","2","2","2"
15,81,68,"Low","Medium","High","Public","High School",65,"11-20","2","1","2"
25,65,94,"Medium","Low","High","Public","College",65,"21-30","3","1","3"
25,69,63,"Medium","High","Medium","Private","High School",65,"21-30","1","1","3"
23,86,100,"Medium","Low","High","Public","Postgraduate",69,"21-30","3","2","3"
27,75,60,"Medium","Medium","Medium","Public","Postgraduate",69,"21-30","1","2","3"
13,93,62,"Low","Low","Medium","Private","High School",65,"11-20","1","1","2"
30,98,83,"High","Low","High","Public","High School",76,"21-30","2","3","4"
29,92,58,"Low","Medium","Low","Private","College",72,"21-30","1","3","3"
24,75,94,"Medium","Medium","High","Public","High School",67,"21-30","3","2","3"
31,92,55,"Medium","Low","High","Public","High School",74,"30+","1","3","4"
10,74,99,"High","Medium","High","Public","College",66,"0-10","3","2","2"
17,67,94,"Medium","Low","Low","Private","High School",66,"11-20","3","2","2"
16,61,92,"High","High","High","Public","High School",66,"11-20","3","2","2"
24,75,70,"High","High","High","Public","College",71,"21-30","2","3","3"
14,96,76,"Medium","Low","High","Public","High School",66,"11-20","2","2","2"
25,70,73,"High","Low","Low","Public","Postgraduate",65,"21-30","2","1","3"
28,68,99,"Medium","High","Medium","Public","High School",69,"21-30","3","2","3"
24,99,52,"Low","Low","High","Public","High School",69,"21-30","1","2","3"
22,61,69,"Low","Low","High","Public","",63,"21-30","2","1","3"
14,91,98,"High","High","High","Public","High School",68,"11-20","3","2","2"
15,73,68,"Medium","High","Medium","Public","",64,"11-20","2","1","2"
27,61,70,"Medium","Low","Low","Public","College",64,"21-30","2","1","3"
25,97,82,"High","Low","High","Public","College",73,"21-30","2","3","3"
20,66,95,"High","High","Medium","Public","High School",66,"11-20","3","2","3"
17,82,65,"Low","Low","Medium","Private","High School",67,"11-20","2","2","2"
8,71,97,"Medium","Medium","Medium","Private","High School",63,"0-10","3","1","1"
14,63,64,"High","Low","Medium","Public","High School",61,"11-20","2","1","2"
31,62,91,"High","High","High","Public","High School",71,"30+","3","3","4"
12,65,64,"Medium","Medium","Medium","Public","College",61,"11-20","2","1","2"
21,63,54,"Low","Medium","Medium","Private","College",62,"21-30","1","1","3"
26,90,91,"Medium","High","High","Private","High School",74,"21-30","3","3","3"
12,79,73,"Medium","Medium","Medium","Private","High School",65,"11-20","2","1","2"
21,74,70,"Low","Low","High","Public","High School",64,"21-30","2","1","3"
26,77,71,"Medium","Medium","High","Public","Postgraduate",66,"21-30","2","2","3"
20,97,81,"Medium","Medium","Medium","Public","High School",72,"11-20","2","3","3"
37,96,63,"Medium","Medium","High","Private","High School",76,"30+","1","3","4"
10,89,62,"Medium","Low","Medium","Public","Postgraduate",67,"0-10","1","2","2"
26,95,74,"Low","Low","Medium","Private","High School",71,"21-30","2","3","3"
19,73,52,"Medium","Medium","Medium","Public","High School",65,"11-20","1","1","2"
25,75,82,"Medium","Medium","High","Private","Postgraduate",68,"21-30","2","2","3"
23,85,91,"Low","Low","High","Public","High School",68,"21-30","3","2","3"
16,85,86,"Low","High","High","Private","High School",67,"11-20","2","2","2"
21,79,73,"Medium","Low","Low","Public","High School",64,"21-30","2","1","3"
9,76,78,"Low","Medium","Medium","Public","Postgraduate",60,"0-10","2","1","1"
24,99,51,"Low","Low","Medium","Public","",70,"21-30","1","3","3"
22,93,96,"High","High","Low","Private","College",73,"21-30","3","3","3"
24,77,78,"Low","High","High","Private","High School",69,"21-30","2","2","3"
26,89,66,"Medium","Low","Medium","Public","College",70,"21-30","2","3","3"
22,71,65,"Low","Low","Medium","Public","College",64,"21-30","2","1","3"
21,64,83,"High","Low","Low","Public","High School",64,"21-30","2","1","3"
15,74,79,"Medium","High","Medium","Public","College",65,"11-20","2","1","2"
16,76,59,"Low","Low","Medium","Public","College",62,"11-20","1","1","2"
27,61,70,"Medium","Medium","Medium","Public","High School",64,"21-30","2","1","3"
29,93,84,"Medium","High","Medium","Public","College",72,"21-30","2","3","3"
19,74,65,"High","Low","High","Public","High School",64,"11-20","2","1","2"
20,83,75,"Medium","Medium","Medium","Public","High School",67,"11-20","2","2","3"
15,63,63,"Low","High","High","Private","College",64,"11-20","1","1","2"
27,67,54,"Medium","Medium","Low","Private","High School",61,"21-30","1","1","3"
24,96,69,"Medium","Low","Medium","Public","High School",72,"21-30","2","3","3"
32,84,87,"Medium","Medium","Medium","Public","High School",70,"30+","2","3","4"
15,98,61,"Medium","Low","Medium","Public","High School",70,"11-20","1","3","2"
18,100,88,"Medium","Medium","Medium","Public","College",71,"11-20","3","3","2"
21,75,83,"Low","Medium","Medium","Public","College",68,"21-30","2","2","3"
24,72,75,"Medium","High","Medium","Private","College",68,"21-30","2","2","3"
19,94,99,"Medium","Low","Medium","Public","High School",70,"11-20","3","3","2"
15,100,94,"High","Medium","High","Public","College",73,"11-20","3","3","2"
25,85,78,"Low","Medium","High","Public","High School",69,"21-30","2","2","3"
24,92,78,"High","Medium","Medium","Public","High School",71,"21-30","2","3","3"
15,91,64,"Low","Low","High","Public","High School",64,"11-20","2","1","2"
28,74,96,"Low","Medium","Medium","Private","High School",68,"21-30","3","2","3"
27,83,95,"Medium","High","Low","Private","High School",69,"21-30","3","2","3"
21,93,87,"Medium","Low","High","Public","High School",70,"21-30","2","3","3"
20,88,56,"Medium","Low","Medium","Public","",67,"11-20","1","2","3"
23,61,85,"Medium","Medium","High","Private","High School",66,"21-30","2","2","3"
15,73,63,"Medium","Medium","Medium","Public","Postgraduate",65,"11-20","1","1","2"
20,66,59,"Low","Medium","Medium","Public","College",66,"11-20","1","2","3"
7,69,88,"Medium","Low","High","Private","Postgraduate",61,"0-10","3","1","1"
25,96,98,"Medium","Low","Medium","Public","High School",71,"21-30","3","3","3"
11,61,55,"Medium","High","Low","Public","High School",60,"11-20","1","1","2"
29,69,58,"Medium","Low","Low","Public","College",66,"21-30","1","2","3"
18,72,61,"Low","Medium","Medium","Private","College",61,"11-20","1","1","2"
19,85,98,"High","Medium","Medium","Public","High School",68,"11-20","3","2","2"
16,81,85,"High","Low","Medium","Public","College",68,"11-20","2","2","2"
18,69,84,"Medium","Low","Medium","Public","High School",65,"11-20","2","1","2"
29,67,75,"Medium","Low","Medium","Public","High School",65,"21-30","2","1","3"
5,69,77,"Medium","Low","High","Public","College",60,"0-10","2","1","1"
28,80,65,"Low","Low","Medium","Private","College",67,"21-30","2","2","3"
22,71,58,"Medium","Low","Medium","Public","College",65,"21-30","1","1","3"
13,98,89,"High","High","Medium","Public","High School",70,"11-20","3","3","2"
14,79,74,"Medium","Medium","Medium","Public","High School",64,"11-20","2","1","2"
30,62,63,"Medium","Low","High","Public","High School",68,"21-30","1","2","4"
14,89,82,"High","Medium","Medium","Public","College",69,"11-20","2","2","2"
13,73,60,"High","High","High","Public","College",65,"11-20","1","1","2"
27,86,74,"Medium","High","High","Private","High School",71,"21-30","2","3","3"
22,71,60,"Low","Medium","High","Public","High School",65,"21-30","1","1","3"
14,83,88,"Low","High","Medium","Public","High School",65,"11-20","3","1","2"
21,91,66,"High","Medium","Medium","Public","College",68,"21-30","2","2","3"
14,97,72,"High","Low","Low","Public","High School",66,"11-20","2","2","2"
27,70,88,"Medium","High","Medium","Public","High School",65,"21-30","3","1","3"
26,73,83,"Low","Medium","Medium","Public","College",71,"21-30","2","3","3"
23,79,70,"Medium","Medium","High","Public","Postgraduate",68,"21-30","2","2","3"
22,97,54,"Medium","High","Medium","Public","College",70,"21-30","1","3","3"
31,96,96,"Low","Low","High","Private","College",74,"30+","3","3","4"
20,64,50,"High","Low","Medium","Private","High School",62,"11-20","1","1","3"
13,65,87,"Low","Medium","Medium","Public","High School",61,"11-20","2","1","2"
23,80,97,"Medium","Medium","Medium","Private","High School",70,"21-30","3","3","3"
33,64,65,"Medium","Medium","","Public","College",65,"30+","2","1","4"
14,74,54,"High","Low","Low","Public","High School",62,"11-20","1","1","2"
18,66,62,"Medium","High","Medium","Public","High School",65,"11-20","1","1","2"
22,85,66,"Low","Low","Medium","Private","College",68,"21-30","2","2","3"
20,98,73,"Medium","Medium","Low","Private","High School",70,"11-20","2","3","3"
14,100,76,"Low","Medium","Medium","Private","Postgraduate",68,"11-20","2","2","2"
27,75,86,"Medium","Medium","Medium","Private","Postgraduate",69,"21-30","2","2","3"
34,84,95,"Medium","Low","Medium","Private","Postgraduate",73,"30+","3","3","4"
21,94,73,"Medium","Medium","Medium","Private","College",71,"21-30","2","3","3"
15,65,87,"Medium","Low","High","Private","High School",63,"11-20","2","1","2"
11,88,56,"Low","Medium","Medium","Public","College",66,"11-20","1","2","2"
22,76,66,"Low","Low","High","Private","Postgraduate",67,"21-30","2","2","3"
27,68,56,"Medium","Low","High","Public","",64,"21-30","1","1","3"
23,76,85,"Medium","Medium","Low","Public","High School",66,"21-30","2","2","3"
20,63,95,"Medium","High","High","Public","College",69,"11-20","3","2","3"
16,88,94,"High","Medium","Medium","Private","College",72,"11-20","3","3","2"
13,70,66,"Medium","Medium","Medium","Public","High School",63,"11-20","2","1","2"
25,72,62,"Medium","Low","Medium","Public","High School",67,"21-30","1","2","3"
25,65,64,"Medium","Medium","Medium","Private","College",64,"21-30","2","1","3"
11,95,64,"High","Low","Medium","Public","High School",68,"11-20","2","2","2"
30,80,54,"High","High","Medium","Public","High School",71,"21-30","1","3","4"
23,83,57,"Medium","Medium","High","Public","High School",67,"21-30","1","2","3"
28,83,61,"Medium","Low","Medium","Private","Postgraduate",67,"21-30","1","2","3"
12,76,50,"Medium","Medium","High","Public","College",64,"11-20","1","1","2"
12,68,52,"Low","High","High","Public","College",63,"11-20","1","1","2"
19,90,85,"Medium","Medium","Medium","Public","College",72,"11-20","2","3","2"
23,65,81,"Low","Low","Medium","Public","High School",63,"21-30","2","1","3"
31,64,97,"Low","Medium","Medium","Private","High School",67,"30+","3","2","4"
24,88,70,"Medium","Low","Medium","Private","Postgraduate",68,"21-30","2","2","3"
19,68,72,"High","Low","High","Private","College",64,"11-20","2","1","2"
14,72,53,"Medium","Medium","Medium","Public","Postgraduate",65,"11-20","1","1","2"
27,79,58,"High","Medium","Medium","Private","Postgraduate",68,"21-30","1","2","3"
14,78,85,"Medium","Low","Medium","Private","High School",66,"11-20","2","2","2"
30,88,62,"High","Low","Medium","Private","College",73,"21-30","1","3","4"
18,85,89,"Medium","High","Medium","Private","High School",68,"11-20","3","2","2"
30,86,85,"High","Medium","Medium","Private","Postgraduate",72,"21-30","2","3","4"
24,89,87,"Medium","High","Medium","Public","High School",70,"21-30","2","3","3"
19,72,85,"High","Low","Medium","Private","College",66,"11-20","2","2","2"
17,73,85,"High","Medium","Medium","Public","College",66,"11-20","2","2","2"
18,78,77,"Medium","Medium","High","Private","College",66,"11-20","2","2","2"
23,72,84,"Low","Low","Medium","Public","High School",65,"21-30","2","1","3"
20,99,76,"High","Low","Medium","Public","College",71,"11-20","2","3","3"
16,93,60,"Medium","Medium","Medium","Public","High School",66,"11-20","1","2","2"
19,67,61,"High","Medium","","Private","College",63,"11-20","1","1","2"
20,60,70,"Medium","Low","Medium","Public","Postgraduate",63,"11-20","2","1","3"
7,62,51,"Low","Medium","Low","Public","College",58,"0-10","1","1","1"
23,70,94,"Low","Medium","High","Public","",68,"21-30","3","2","3"
14,65,63,"Medium","Low","Medium","Public","High School",61,"11-20","1","1","2"
13,81,53,"Low","Low","Medium","Public","High School",65,"11-20","1","1","2"
10,94,71,"Medium","High","Medium","Public","High School",67,"0-10","2","2","2"
9,89,91,"Medium","High","Low","Public","Postgraduate",67,"0-10","3","2","1"
12,69,70,"Medium","Medium","Medium","Private","High School",62,"11-20","2","1","2"
16,76,63,"High","Low","Medium","Public","High School",86,"11-20","1","3","2"
32,80,77,"Low","Medium","Medium","Public","College",71,"30+","2","3","4"
17,92,79,"Medium","Low","Medium","Public","Postgraduate",70,"11-20","2","3","2"
21,94,88,"Medium","Medium","Medium","Public","College",71,"21-30","3","3","3"
22,96,90,"High","Low","Medium","Public","College",71,"21-30","3","3","3"
21,80,85,"Low","High","Medium","Public","College",70,"21-30","2","3","3"
20,88,50,"Medium","Low","Medium","Public","High School",67,"11-20","1","2","3"
13,64,50,"High","Medium","Low","Public","High School",60,"11-20","1","1","2"
29,83,99,"Medium","Medium","High","Public","College",73,"21-30","3","3","3"
31,70,63,"High","Medium","Medium","Public","High School",67,"30+","1","2","4"
10,77,64,"High","Low","Medium","Private","College",62,"0-10","2","1","2"
14,85,87,"High","Medium","Medium","Public","College",67,"11-20","2","2","2"
18,70,79,"Medium","Medium","High","Public","College",65,"11-20","2","1","2"
14,62,73,"Medium","Low","Medium","Public","High School",61,"11-20","2","1","2"
23,60,56,"Low","Low","Medium","Private","High School",61,"21-30","1","1","3"
16,61,54,"Low","Low","Medium","Private","High School",60,"11-20","1","1","2"
33,60,85,"Low","Low","Low","Public","High School",68,"30+","2","2","4"
27,64,56,"Low","Low","High","Public","College",65,"21-30","1","1","3"
21,70,72,"Low","Medium","Low","Public","Postgraduate",67,"21-30","2","2","3"
26,69,87,"Low","Medium","Low","Public","Postgraduate",67,"21-30","2","2","3"
27,99,96,"Low","High","Medium","Private","College",74,"21-30","3","3","3"
17,72,94,"Low","Medium","Medium","Public","High School",64,"11-20","3","1","2"
15,65,93,"Low","Low","Low","Private","College",64,"11-20","3","1","2"
20,82,68,"Medium","Low","High","Public","High School",67,"11-20","2","2","3"
25,94,96,"High","Medium","Medium","Public","High School",74,"21-30","3","3","3"
21,87,84,"High","Low","Low","Private","College",69,"21-30","2","2","3"
11,72,94,"High","Low","Low","Public","High School",62,"11-20","3","1","2"
15,82,54,"Medium","Medium","Medium","Public","College",66,"11-20","1","2","2"
20,89,52,"Low","Medium","Medium","Public","College",69,"11-20","1","2","3"
20,89,71,"Medium","Medium","Medium","Public","Postgraduate",68,"11-20","2","2","3"
32,87,91,"Medium","High","Medium","Public","High School",74,"30+","3","3","4"
12,95,70,"Medium","Medium","High","Public","High School",68,"11-20","2","2","2"
23,95,94,"High","Medium","Medium","Public","High School",73,"21-30","3","3","3"
29,83,62,"Low","High","Medium","Public","College",70,"21-30","1","3","3"
34,77,52,"Medium","Medium","Medium","Private","High School",69,"30+","1","2","4"
18,86,88,"Medium","Medium","High","Public","College",68,"11-20","3","2","2"
23,93,81,"High","Low","Medium","Private","College",71,"21-30","2","3","3"
23,60,72,"Low","High","Medium","Public","College",64,"21-30","2","1","3"
21,100,92,"Low","Low","Low","Public","Postgraduate",71,"21-30","3","3","3"
19,67,91,"Medium","Low","High","Public","High School",65,"11-20","3","1","2"
23,79,66,"High","High","Medium","Private","Postgraduate",68,"21-30","2","2","3"
5,95,92,"Low","Low","High","Private","College",67,"0-10","3","2","1"
24,69,67,"Medium","Medium","High","Public","Postgraduate",67,"21-30","2","2","3"
21,79,81,"Low","Medium","Medium","Public","High School",67,"21-30","2","2","3"
19,65,60,"Low","Low","Medium","Public","Postgraduate",63,"11-20","1","1","2"
32,76,63,"Medium","Medium","Low","Public","High School",68,"30+","1","2","4"
16,67,72,"Medium","Low","High","Public","Postgraduate",66,"11-20","2","2","2"
18,75,66,"High","High","High","Public","High School",67,"11-20","2","2","2"
32,75,56,"Medium","Medium","Medium","Public","College",68,"30+","1","2","4"
15,100,74,"Medium","High","Medium","Private","Postgraduate",72,"11-20","2","3","2"
17,100,76,"Low","Low","High","Private","Postgraduate",70,"11-20","2","3","2"
19,65,58,"Low","Medium","Medium","Public","High School",62,"11-20","1","1","2"
25,89,59,"Medium","Low","Medium","Public","College",69,"21-30","1","2","3"
21,62,51,"Low","Low","Medium","Private","High School",61,"21-30","1","1","3"
12,61,52,"Low","Low","Medium","Public","High School",58,"11-20","1","1","2"
17,64,68,"Medium","Medium","Medium","Private","High School",63,"11-20","2","1","2"
16,99,57,"High","Medium","Medium","Public","College",71,"11-20","1","3","2"
20,98,96,"Low","Low","High","Public","College",70,"11-20","3","3","3"
23,68,60,"Medium","Low","Medium","Public","High School",64,"21-30","1","1","3"
23,66,53,"Low","Medium","Medium","Public","College",63,"21-30","1","1","3"
9,70,70,"Low","Medium","Medium","Public","College",63,"0-10","2","1","1"
